wav_path|text|emb_id|style_target
/l/disk1/awstebas/lhueda/CH/CH_Unicamp/base_recortes/recortes_silvano/audios/silvano0210.wav|lucas . nestes números pus a esperança de mudar radicalmente a minha vida .|CarolinaHolly|t_neutro
/l/disk1/awstebas/lhueda/CH/CH_Unicamp/base_recortes/recortes_silvano/audios/silvano0293.wav|luco . realmente fiquei admirada com a conquista da alice . o lilo é um ótimo professor .|CarolinaHolly|t_neutro
/l/disk1/awstebas/lhueda/CH/CH_Unicamp/base_recortes/recortes_silvano/audios/silvano0260.wav|apesar de ter uma calda açucarada , ele deixa no fundo da língua um leve tom cítrico que causa um imenso prazer degustativo .|CarolinaHolly|t_eps_animado_rf
/l/disk1/awstebas/lhueda/CH/CH_Unicamp/base_recortes/recortes_silvano/audios/silvano0112.wav|luco . não acredito que você estacionou o carro na vaga pra deficientes . é um abuso !|CarolinaHolly|t_neutro
/l/disk1/awstebas/lhueda/CH/CH_Unicamp/base_recortes/recortes_silvano/audios/silvano0217.wav|vou poder cuidar da saúde dos meus pais e ajudar meus irmãos .|CarolinaHolly|t_neutro
/l/disk1/awstebas/lhueda/CH/CH_Unicamp/base_recortes/recortes_silvano/audios/silvano0203.wav|meu cabelo cheira a alho , minhas unhas estão cheias de terra e tenho dez quilos de roupa para passar .|CarolinaHolly|t_neutro
/l/disk1/awstebas/lhueda/CH/CH_Unicamp/base_recortes/recortes_silvano/audios/silvano0245.wav|lucas . quer dizer que o transplante da túlia já acabou ? ela está acordada ?|CarolinaHolly|t_neutro
/l/disk1/awstebas/lhueda/CH/CH_Unicamp/base_recortes/recortes_silvano/audios/silvano0279.wav|quantas noites mal dormidas . acordando de madrugada para caminhar vendendo churros de porta em porta .|CarolinaHolly|t_neutro
/l/disk1/awstebas/lhueda/CH/CH_Unicamp/base_recortes/recortes_silvano/audios/silvano0232.wav|pessoal , vamos para a praia .|CarolinaHolly|t_neutro
/l/disk1/awstebas/lhueda/CH/CH_Unicamp/base_recortes/recortes_silvano/audios/silvano0036.wav|jamais imaginei que essa situação acabaria dessa maneira chata .|CarolinaHolly|t_neutro
/l/disk1/awstebas/lhueda/CH/CH_Unicamp/base_recortes/recortes_silvano/audios/silvano0057.wav|cuidaríamos dela com muito carinho e dedicação .|CarolinaHolly|t_neutro
/l/disk1/awstebas/lhueda/CH/CH_Unicamp/base_recortes/recortes_silvano/audios/silvano0052.wav|nós ja tínhamos até preparado um quarto lindo para ela .|CarolinaHolly|t_neutro
/l/disk1/awstebas/lhueda/CH/CH_Unicamp/base_recortes/recortes_silvano/audios/silvano0161.wav|estarei disponível vinte e quatro horas para ajudá-la em qualquer caso .|CarolinaHolly|t_neutro
/l/disk1/awstebas/lhueda/CH/CH_Unicamp/base_recortes/recortes_silvano/audios/silvano0072.wav|sei que estarei sozinha e não terei pra quem pedir ajuda .|CarolinaHolly|t_neutro
/l/disk1/awstebas/lhueda/CH/CH_Unicamp/base_recortes/recortes_silvano/audios/silvano0226.wav|que ótima notícia !|CarolinaHolly|t_neutro
/l/disk1/awstebas/lhueda/CH/CH_Unicamp/base_recortes/recortes_silvano/audios/silvano0009.wav|como é bom saber disso ! rafaela e suas filhas finalmente poderão arrumar as malas e voltar pra casa .|CarolinaHolly|t_neutro
